ts,expiry,spot,n_contracts,atm_iv,oi_pcr,oi_pcr_usd,oi_pcr_2pct,oi_pcr_4pct,oi_pcr_10pct,vol_pcr,iv_skew,iv_wing,delta_pcr,theta_pcr,vega_pcr,sr_support_dist,sr_resistance_dist,sr_support_oi,sr_resistance_oi,net_dir_score,gamma_tilt,max_pain_dist,iv_bidask,iv_term_slope,funding_rate,perp_basis,ls_ratio_top,ls_ratio_global,ls_divergence,taker_ratio,total_oi,total_vol,perp_oi
1781435297853,260615,64498.20043478,26,0.35,0.9773526779209425,0.9773526779209426,0.848615626050891,0.5443356305162615,0.9773526779209425,0.642877310340334,-0.036,0.123,0.4429650548994318,0.5375746568384403,0.6061350588608367,-0.06974148742845221,0.02328436382870258,150.74,143.43,0.114415,0.217743,-0.007724,0.003982,0.043,-3.893e-05,-0.0004105729650051852,1.517,1.4237,0.0933,0.5158,949.94,756.4300000000001,100812.886
1781435357864,260615,64516.37695652,26,0.35,0.9773526779209425,0.9773526779209425,0.848615626050891,0.5443356305162615,0.9773526779209425,0.6425080902634493,-0.027,0.1245,0.42923183558803024,0.5348459574794244,0.5963655481018629,-0.07000357381450217,0.022996068804047587,150.74,143.43,0.114552,0.228722,-0.008004,0.003983,0.033,-3.893e-05,-0.0005791730798435082,1.517,1.4237,0.0933,0.4505,949.94,756.26,100815.447
1781435417869,260615,64519.08347826,26,0.35,0.9773526779209425,0.9773526779209426,0.848615626050891,0.5443356305162615,0.9773526779209425,0.6425080902634493,-0.028,0.125,0.42701569159309805,0.535159374783303,0.5945433029007019,-0.07004258638892047,0.02295315497218753,150.74,143.43,0.114552,0.231977,-0.008045,0.003985,0.033,-3.847e-05,-0.0004943632445576352,1.517,1.4237,0.0933,0.4505,949.94,756.26,100820.288
1781435477878,260615,64545.86543478,26,0.35,0.9773526779209425,0.9773526779209425,0.848615626050891,0.5443356305162615,0.9773526779209425,0.6425080902634493,-0.021,0.1255,0.4093200741868061,0.5209976691120182,0.5811924234239028,-0.07042845276237475,0.022528701961387787,150.74,143.43,0.114552,0.241621,-0.008457,0.003988,0.032,-3.832e-05,-0.00046270097362276344,1.517,1.4231,0.0939,0.4505,949.94,756.26,100825.238
1781435537880,260615,64532.38608696,26,0.348,0.9773526779209425,0.9773526779209426,0.848615626050891,0.5443356305162615,0.9773526779209425,0.6426197458455523,-0.024,0.127,0.41686363382205,0.5241392490443041,0.5874328069611159,-0.07023428640702101,0.022742284952276925,150.74,143.43,0.11451,0.233389,-0.00825,0.003989,0.034,-3.787e-05,-0.0005531449096257135,1.5164,1.4231,0.0933,2.6101,949.94,756.18,100832.411
1781435597883,260615,64559.74195652,26,0.348,0.9771492788911782,0.977149278891178,0.848140264396146,0.5442040372295418,0.9771492788911782,0.6424383252258513,-0.027,0.1285,0.39787687817515566,0.5249231998023686,0.5708907802501958,-0.07062825560224384,0.022308918837531833,150.74,143.43,0.11463,0.259595,-0.00867,0.003994,0.034,-3.787e-05,-0.0004899730895967482,1.5164,1.4231,0.0933,2.6101,950.04,756.31,100836.482
1781435657889,260615,64570.18543478,26,0.348,0.9768849866844208,0.9768849866844209,0.8475230898404702,0.544033061046933,0.9768849866844208,0.6418250455610518,-0.019,0.1305,0.38998913601521346,0.5234705223093207,0.5665585548142664,-0.07077857069802251,0.022143572232175224,150.74,143.43,0.114925,0.265006,-0.00883,0.003998,0.034,-3.791e-05,-0.0004349597974807288,1.5164,1.4231,0.0933,2.6101,950.1700000000001,756.75,100845.015
1781435717894,260615,64570.54956522,26,0.348,0.9759915190820654,0.9759915190820654,0.8454408398012172,0.5434551687509053,0.9759915190820654,0.6418250455610518,-0.021,0.1305,0.39032529550495404,0.5194453406382982,0.5661359944135467,-0.07078381082390317,0.022137808093706468,150.74,143.43,0.115153,0.261473,-0.008836,0.003999,0.034,-3.791e-05,-0.0004887938367028552,1.5164,1.4231,0.0933,2.6101,950.6100000000001,756.75,100872.439
1781435777905,260615,64553.5826087,26,0.348,0.9759915190820654,0.9759915190820653,0.8454408398012172,0.5434551687509053,0.9759915190820654,0.6418250455610518,-0.023,0.1305,0.40189475184275214,0.5172668478467713,0.5759578659560718,-0.07053958006176264,0.022406461932061195,150.74,143.43,0.115153,0.243605,-0.008576,0.003998,0.034,-3.791e-05,-0.0005779839519700676,1.5164,1.4231,0.0933,2.6101,950.6100000000001,756.75,100894.905
1781435837916,260615,64541.90717391,26,0.348,0.9759915190820654,0.9759915190820654,0.8454408398012172,0.5434551687509053,0.9759915190820654,0.6418250455610518,-0.027,0.1295,0.409177294599771,0.5175018024137199,0.5815074276076166,-0.0703714434975048,0.02259141215274485,150.74,143.43,0.115153,0.235953,-0.008396,0.003998,0.034,-3.782e-05,-0.0006148030211039847,1.5164,1.4242,0.0922,2.6101,950.6100000000001,756.75,100892.357
1781435897918,260615,64548.01521739,26,0.347,0.9759915190820654,0.9759915190820654,0.8454408398012172,0.5434551687509053,0.9759915190820654,0.6419503938545668,-0.025,0.1305,0.4049938205981034,0.5216757166460925,0.5785498972600905,-0.0704594123006389,0.02249464646929722,150.74,143.43,0.115107,0.245018,-0.00849,0.004,0.035,-3.828e-05,-0.0005982401977806108,1.517,1.4242,0.0928,1.3357,950.6100000000001,756.66,100884.063
